relative_path,size_bytes,sha256
active_learning_thesis/__pycache__/dashboard_preferences.cpython-311.pyc,5678,1b1814a6b35f70fde2ffb1cd26029719b5b213c1c083a1a886f0ba3ab7ebf0ac
active_learning_thesis/__pycache__/dashboard_profiles.cpython-311.pyc,8423,7e6e091b24a09022f7f1f5fac614b1037da1a5ab472540ad37cb4e1c5eb9d64e
active_learning_thesis/__pycache__/dashboard_progress.cpython-311.pyc,10723,88327cfd79d58d6463f8d16971449967d6c2e9cfd31c20f5ed24f79e1058275e
active_learning_thesis/__pycache__/dashboard_readiness.cpython-311.pyc,60305,a8ca3324fe6f7fc49aa0562b8b72cb645f2d53d7aa76c68a2023c0ab12be93cb
active_learning_thesis/__pycache__/dashboard_remote.cpython-311.pyc,82892,4fbecbf6bb50c7c5def5c8e10759823e6348e7bc12b670b301d63bb5d2715333
active_learning_thesis/__pycache__/dashboard_remote_reconciliation.cpython-311.pyc,43181,e7e56339fe5ba71acd42181a45f4a68bd58da6b06c994913b63a193ad068f892
active_learning_thesis/__pycache__/dashboard_remote_state.cpython-311.pyc,27482,4e9bf931d1abee36a2b5048ae830217b216e962d8694b990bc48baab77c38349
active_learning_thesis/__pycache__/dashboard_remote_watchdog.cpython-311.pyc,34864,8d0167679f3757a678a52e34759c02860829d01b3169c89396cd0b58793e7fa6
active_learning_thesis/__pycache__/dashboard_results_view.cpython-311.pyc,71220,395d669d7ae8b05731c7f471de1bdd30e2487893eeef859b199d3e99e9db998f
active_learning_thesis/__pycache__/dashboard_run_setup.cpython-311.pyc,9894,bb8ef2999e905807f402ea97ff647b2c099988245afcc8737ea60f72163cda0d
active_learning_thesis/__pycache__/dashboard_smoke.cpython-311.pyc,7715,e06d74626639acc8e4bfd6b6b98a473147198eeeb0f94977100b1bd578ef0d0d
active_learning_thesis/__pycache__/dashboard_state_collectors.cpython-311.pyc,5458,303fdaa8839340138d656c6da3a11c7b0ce5acde97813d31dd9e2e742302d311
active_learning_thesis/__pycache__/dashboard_state_paths.cpython-311.pyc,2778,4d963ea40c272e57962ded45b002216d96c46394b3034b9ef3b5a95f4e1c0035
active_learning_thesis/__pycache__/dashboard_study_setup.cpython-311.pyc,12930,db26ca12347374e12da29ca47b098f907847b52aa2433998dd8763fd82013bce
active_learning_thesis/__pycache__/dashboard_thesis_checklist.cpython-311.pyc,46593,a757bc19017fa9e8ea78fb7bb30c3c4fdba37f721968e962757f3c17954f68e1
active_learning_thesis/__pycache__/dashboard_thesis_mode.cpython-311.pyc,7981,ec6dc9b6b7db20587ddb3c99b993c3ee6a7c71a601fae74364d85e9cf99cf377
active_learning_thesis/__pycache__/dashboard_workflow_ownership.cpython-311.pyc,9544,943e50519c41306964432d9d3d5294c6773e23caa593c78f00a3ea6a981832ab
active_learning_thesis/__pycache__/dataset.cpython-311.pyc,9084,f644dc8e20f4e40c87df7de3bdbfa6d7d245ab3507df7245e4faf8e6824e7bbf
active_learning_thesis/__pycache__/dependencies.cpython-311.pyc,7238,c88d60c07cfcbbb07eeb42e632421d168370b52a8d5914c120471832ea6d1535
active_learning_thesis/__pycache__/discovery.cpython-311.pyc,6719,d564ce4207da7bbaf80ff6034d6456d31c2d9b53b8df7bca71d7d20965123a6e
active_learning_thesis/__pycache__/generative.cpython-311.pyc,32150,2bfb9c490e3df73e7879ef4c428f782aee957cf53b5583617f98874b5dea1e0f
active_learning_thesis/__pycache__/ledger.cpython-311.pyc,10367,167ccf1420ed4f6b39e013d63a7896848338ee34269836bc136381abae43e1c0
active_learning_thesis/__pycache__/md_orchestrator.cpython-311.pyc,18721,a29e57c9afa22fdf267964eb9f3a816db8b30ce5ece193b3617d4b959e691e75
active_learning_thesis/__pycache__/md_review_evidence.cpython-311.pyc,6649,84975608af6e06b631a953474be6576faeafca0a9d95aacd023f92fb2be43ee0
active_learning_thesis/__pycache__/md_workflow.cpython-311.pyc,154138,69b59483044cfd0067642270f520308620e10a7f1a1f5b5b478c456392291f8d
active_learning_thesis/__pycache__/metrics.cpython-311.pyc,16504,ab141c8336fb77247eb0fc598c1b3b4a3bff6659984a7da144511f7ff1a77228
active_learning_thesis/__pycache__/optional_evaluator_study.cpython-311.pyc,32763,2711541925813f02c2f9f4b2bee4b7c72ceffcd95cf17a24349d3fc072090db2
active_learning_thesis/__pycache__/paths.cpython-311.pyc,861,2cc98cdfa97689a81005299c03b972e13b93074b85d49c6adaa700fcd75faa09
active_learning_thesis/__pycache__/phase1_reproduction.cpython-311.pyc,90371,858afd85a262bc1632c5e4eaf7ce38865cbdbf30414365eaa34ff83a14a4a505
active_learning_thesis/__pycache__/phase2_replay.cpython-311.pyc,199716,605ba51dbae185366e376f810e44ce1b28e447124db7b2d3a05533ee408fcdeb
active_learning_thesis/__pycache__/phase3_real_al.cpython-311.pyc,114412,5292e3baedfc620a4c60691208e2a73b08cb46be54e76baec335bdd49c26d9e6
active_learning_thesis/__pycache__/phase3_strategy_selection.cpython-311.pyc,119867,3d7e8b3d158ed3a6f67a65457a79e63cfb84713b360bae4fe697e73a30401203
active_learning_thesis/__pycache__/phase4_bo.cpython-311.pyc,107577,7c7a9cda60d59cfe93e5edf4381314d73c28af558c05b09914dbd6e52aad48f4
active_learning_thesis/__pycache__/phase4_diversity.cpython-311.pyc,69191,98813430454f0b010a280bf6b35a70196d3a675cb908ed8cc44e424d26a1f6ba
active_learning_thesis/__pycache__/phase5_self_paced.cpython-311.pyc,127110,14239c76f47116f76e06a65426deed2536398b6a88f3a88e1f3ddbdcbd50407b
active_learning_thesis/__pycache__/predictive.cpython-311.pyc,51373,18ab74cc646fc471af14055b68039f0c977e70e7d0ea6751005f7fbcaac2995c
active_learning_thesis/__pycache__/study.cpython-311.pyc,73326,9ada017c915178d019f0f9321d5c4194e4ddd24550f66f8b5892b46890a779a6
active_learning_thesis/__pycache__/thesis_canary.cpython-311.pyc,28038,e4fe58bb725da42606a837d1622b6680a8b7bb1eb9e3177f650f19be65286076
active_learning_thesis/__pycache__/thesis_figures.cpython-311.pyc,44119,89fb5d5e3e0a7b5e25585ce573fe3143ea7c95bab6d26c8ff7d079fb46487e55
active_learning_thesis/__pycache__/thesis_freeze.cpython-311.pyc,30437,1ea587e33c0f01c2ae0eac314a4f8dc53101c3ff6a6579224b9dd604faadcbd7
active_learning_thesis/__pycache__/thesis_packet.cpython-311.pyc,34929,9c4e28acfe5714cebac77679126cb671ce8f2f0df67951ba1a3cb87129aa2607
active_learning_thesis/__pycache__/workflow.cpython-311.pyc,48043,6ccde95b4440a9188af61ee6d19ed94a8106ce1d88e6f5be0cc91797d13e4757
active_learning_thesis/acquisition.py,35896,bb3c5ab65642b700d1725954956f5a020da6d05ac20de2d662356f3dc5959f08
active_learning_thesis/bura_autopilot.py,21209,101f0bc572108deede0c9abd0b180df79dc605207961ab7191a55ba1ab3ab8c5
active_learning_thesis/bura_md_workflow.py,4753,0d51c65590d553e8915bca1a8cd08c0998a14a4208568f5ce6f1dec1c5327ad8
active_learning_thesis/cli.py,67026,4ce83f47010a1e076e042c9c1e5488e27875c48b328bfe86395c9f66accbc95e
active_learning_thesis/config.py,6481,6c5fb5352c5063544b72d9713a4c5bcbb26d105eb7c26298a554a088636f37e7
active_learning_thesis/dashboard.py,539859,721129541edf71acd4a3fe554b12e6699a6f6436f9b79f09430c21c1b113c0cc
active_learning_thesis/dashboard_action_contracts.py,30786,0b8b4db3bc685e8c87c1cd6da2c55107fc5a26873e3a2975daa5429d637e0f05
active_learning_thesis/dashboard_action_debugger.py,17207,dcbbc436ddbd2747e6fdc2f970574d9ef5e044f4a738b47b0101b4447c7e3af6
active_learning_thesis/dashboard_action_worker.py,664,311ffc23ac843ffd4f7991df022df5823af145b953bec5b2528baf00ef7e1e9a
active_learning_thesis/dashboard_actions.py,87283,e8ca5ea66a92d49db6077acc5475d110295401e55f41db508c5585e06f4dcd99
active_learning_thesis/dashboard_al_loop_simulator.py,19838,1e4be0d6f4e5ebd5fc1ad6a6f9e2cfb90bc1fa0f1598dd914a4613069b026544
active_learning_thesis/dashboard_analytics.py,7789,8b21da93286429c694bddf2e904fd3b6b5d96978a3badc0cb136985d4c96fc80
active_learning_thesis/dashboard_app.py,766,88db4011b8770dd23eafe57379e229a3626abac62038e3aba7887b3e4bf3507e
active_learning_thesis/dashboard_artifacts.py,28240,4b88943943e805fa4d618526f4724f758cfdc76f12e0070fdd730e60edc8b2ba
active_learning_thesis/dashboard_contract_ui.py,2273,c05949b6ea78b132a5a81c4640fdcc1bdc1560acda81756b755d8bbc57a90303
active_learning_thesis/dashboard_curation.py,7245,62a3d36ed0ee5c20df07b3cdd25976a0cff3eca134c8682f01663e1accd58670
active_learning_thesis/dashboard_decisions.py,8459,e84751ef172c775a8ffb2538b15e4d6db7770a06ea8c23a9a65ebd5c2d1f26f6
active_learning_thesis/dashboard_feedback.py,11249,57938fd5f40424372b7b900d2435e9ba0c057ed771568fd7fcfff7645876f415
active_learning_thesis/dashboard_health.py,10328,5da871dc9c4fa499f33966e0b186b1561dacc29949d444574d23bfa51b826cb8
active_learning_thesis/dashboard_integrity.py,13940,698aacfcdba1ebb1bd044c43c7717bbc1a3e25e2eacb7498f912c5e285fddfaf
active_learning_thesis/dashboard_layout.py,11957,feb02058376d1039c097699726d93e78d7c67a9e64413532da53869cc470de74
active_learning_thesis/dashboard_md_batches.py,4476,74f7440f388bcfdf3f750d7ef9059f0219c228662e9fe4d220aaff03680371fe
active_learning_thesis/dashboard_md_recovery.py,19423,ad0df769802bb61c57e8400a020c7048ec8b24a95819f3cfa7ec96a69ba26eb3
active_learning_thesis/dashboard_md_slate.py,87642,8c66e6230222df5e313922f366747a628bc82e1fcec0392744cdfb57afa13356
active_learning_thesis/dashboard_md_slate_planner_state.py,8115,cfea5cf298ba570e11de17f3d64e7bcfb101bd54245a15f635ef9d36250badd0
active_learning_thesis/dashboard_md_slate_state.py,10972,ca1fedfe4aeef008c3741e62b9093ca91a65a0c0cd5b5400d82f2f8de4cd475b
active_learning_thesis/dashboard_md_view.py,63467,61f719e93520b2ee9ee63d11d2541345790663554054d590a376a3decae89c68
active_learning_thesis/dashboard_metadata.py,19430,dcc33758b9892d056508686fc75563074526ff9c9d0161c1ae1eaf8c49a04099
active_learning_thesis/dashboard_model_view.py,56091,dfe7dce42223d54c433adf04a480a789feb57c28ad0c0356b81b2b611f149ecd
active_learning_thesis/dashboard_notifications.py,4119,3c74b0b825a32288bab62120cbeafd89eadf1b2dfa58d6e3d0b37e06c47a9cc6
active_learning_thesis/dashboard_operations_view.py,108313,9fca61f5aee31cadf93e589eb2099e2875e76a3ba87890c7c5a15db002a4739d
active_learning_thesis/dashboard_peptides_view.py,5081,023c0783e8075e6f7da8e59ab65b1bcadd6a3573fa4c3e22abb9733e82b100b4
active_learning_thesis/dashboard_preferences.py,4158,edcf14dfe5652c03f328d3277e76d125f042d951576733b1d8345efe6cb31243
active_learning_thesis/dashboard_profiles.py,5623,61f1a4c18ac88096825daaa15a12319c1ba8a1bd81c0aaceffee0a2fbd8767af
active_learning_thesis/dashboard_progress.py,6260,f27aa84ec27323cfe22c9a1d20a342b642a533f2f36307789781bcf11004f7af
active_learning_thesis/dashboard_readiness.py,51668,8c4118adb6fdb6c05faf55a612fa1fb52e4de0c5319c84c76c71b2ab2b7d8770
active_learning_thesis/dashboard_remote.py,73290,34f68c21aa3452fbe05f58d8ef54de65ef82549bd2277a7dd95d0ac6d6288d53
active_learning_thesis/dashboard_remote_reconciliation.py,29169,f314d3a60527102f1f02a5594e13bf28b60eddc87e12e09b900c6578af1ee5bc
active_learning_thesis/dashboard_remote_state.py,18388,b6cdede8061aa5ed3c70f180247bd89f14c22630ba6551d7143ca20a56e47237
active_learning_thesis/dashboard_remote_watchdog.py,22910,b6f32c356807ecd7a72f40fff62f278013014a1fe91ca3240783607936f4c1ab
active_learning_thesis/dashboard_results_view.py,56567,961ee167bfe59dffc5a08233ee4c72935e264779317b6465a6a233bd6811fedb
active_learning_thesis/dashboard_run_setup.py,8471,cc0db35430229492e39612bd8d0826b430ae5156ce853ec191edd49865ab3cf5
active_learning_thesis/dashboard_smoke.py,4531,59d1cf6e4e15fe49627a6bc6ed29fffb80d1e7373e3dcf29ae07b26642bad995
active_learning_thesis/dashboard_state_collectors.py,3367,4ded7bc364d0ec72af4959b4eb2a9dc0aad3886e951dac07793f6b0f749035d2
active_learning_thesis/dashboard_state_paths.py,1437,29a91264a4d87a3d6ae4f79285a6562c13dd34f4cc39361dcc03bd71ce246880
active_learning_thesis/dashboard_study_setup.py,8591,83dc316aa556abff157decd2da7b80b15dc87914c65143628f1184cd73eae9bf
active_learning_thesis/dashboard_thesis_checklist.py,32982,ed96ea22e21f9ae4111c6a6250ae995603a284b8670948b2d1377b973836b597
active_learning_thesis/dashboard_thesis_mode.py,5112,0d97411c8bb17694e5757b1d550fe30aff6d078031bf2cbcc003b13647afd739
active_learning_thesis/dashboard_workflow_ownership.py,10828,ebb0cee47b69491fa4795dac47e19df144032bdfd17d8503fea05d0d6c4a39de
active_learning_thesis/dataset.py,6115,0574822004ca07846d0ca3e3a1d5181b07c172949e44c99560aacb4d0a7c0514
active_learning_thesis/dependencies.py,4022,fa9ffb96015748212b5eee92f0491e594a1c6b82b0ca48d9627b50489f3dc40a
active_learning_thesis/discovery.py,3481,a8d939c4aed2c438796000b3358486b3190eb7ae39300db746c0fb5581cb49f3
active_learning_thesis/generative.py,28323,c7f3989afb117bb1a78e8b7647ae7b21671853ad131b440ffc96f99012886ac9
active_learning_thesis/ledger.py,5760,c289ee1fb50f9e6dd8d3d4acdf8280c9dfa44fd888c03222d25c30824c2e43a8
active_learning_thesis/md_orchestrator.py,13401,9f0259b83f5690016383e73a3a5da5c8aedc236610b3bb89524ea273797a3a36
active_learning_thesis/md_review_evidence.py,4172,88a03c6d845171a9c9c1807f816fb50e4e3ad4231a1150a4bb622204e042465b
active_learning_thesis/md_workflow.py,124828,c5bf4f0772ca167ad1a9f04dadb798b60f104463fd3550f100e648ee2e3b3517
active_learning_thesis/metrics.py,9844,5678b8d21b5fdc4eeb43efee375243efcf347ee435697316ec9ac34a6540b75a
active_learning_thesis/optional_evaluator_study.py,21010,9adb4a209738f46c0ed6626a1fd49a128e1bd72bafbfc9906053c01c0789a8f3
active_learning_thesis/paths.py,484,e924c7fbdd5c844938f83360c266042ed927518d1b28e588e71dd6232db4282c
active_learning_thesis/phase1_reproduction.py,60294,01cfe46aba313452f4a9bad18fd82f197a0dd03da47c7ffa72a2085bdbb1028f
active_learning_thesis/phase2_replay.py,132007,cb79bd3e027ba63d0df604293a9454ea3ea2c859cdd87c9eb06607dc0412d974
active_learning_thesis/phase3_real_al.py,85666,e1665afc98158ad09eaf521dafa98df63f63087e36daa19af1dac3d8b4f9298c
active_learning_thesis/phase3_strategy_selection.py,70865,6b4cb798c67192c6f7cc425e8be4e6980b1e19b23003d1cf122b9b921a6f2fb5
active_learning_thesis/phase4_bo.py,81599,df22fdbf656cd7e08cc70265b3b15097b24abab2fca83a2e571334ccb3692853
active_learning_thesis/phase4_diversity.py,47748,3a687f7132168022c763e1305fe05c8afddecf5cc048bf6f56c869dc8b335c13
active_learning_thesis/phase5_self_paced.py,90506,318319004dd7a2e2e89a0ef7bb38ef9291c4f937b4fbcaa79284dbd57ba98141
active_learning_thesis/predictive.py,38315,2036761d8740ad782223480b55ae5c44e41713a8c6770d579571b405b0d595a9
active_learning_thesis/study.py,56465,3c6cafbd98e33b2b8e7e72de6e48d0803088a4465892b6838792845eb8f70164
active_learning_thesis/thesis_canary.py,18989,7c4eddf5351cc53cb9413d83a8d50c01474503141c086b7f21912dc8ac4fa103
active_learning_thesis/thesis_figures.py,28593,baaefc77bfc9ea74d6bb39c32953c53e0ac2ebbe529fe1494dda810d21630397
active_learning_thesis/thesis_freeze.py,19789,6286f7c4093c8febda07e6aa98a0a4fcb7d907b976b1bd7b60a7cfab9575fff9
active_learning_thesis/thesis_packet.py,21383,8366236982a357f0d5618d46cccf4220e81e11f0391943b5670d84c32b4c11e2
active_learning_thesis/workflow.py,43998,8febc924f18280148d86f7f040a36e756faeaf37a36a0263a67b09f3b565fa8b
ACTIVE_LEARNING_THESIS.md,31424,ae726b3f709e9047a54b2488813a053867f22cb554d3ae895802bb3ff1fa0880
ARTIFACTS.md,2252,86720d9a27876e7c47581f9f260db4e414df208a61e30f0fab807e11c2bcba81
build_thesis_reporting_evidence.py,76914,e7e15873c6223d47a45732d94b58fafae144d3ceda2efbf92bed22ae25d9057f
build_thesis_results_handoff.py,53135,8e814deb9977dd2e200b63bd1fe488ad13b75175a575217356861ea5e1ace06a
BURA_MD_RUNBOOK.md,14252,0cedee45d321712aba2054383cb25a28283e3db4e0dd434087e106934b398df9
CITATION.cff,2119,7f7f7aff9ebcd5df1c63fc51e0624baa64fb9353aaa7df62390cc8c602138d27
DATA.md,1686,54a10e8e1cbad09151e4a287a43fea3ff900633308f5dce8ee15515aaecedb75
docs/ORIGINAL_PROJECT_README.md,7999,33918bb17cc316c820e1fbc2186e11aa5fe6e5a642fcddfca05df3d69116ffc9
environment.yml,766,bf002cb8ea7c464b9ef1318f8523a98aae2d29465fdb7f25b68b92db2e5a700b
LICENSE,1091,f9fe45d199f539142b080299df03117496fbf6d5be30fbdff0414d40c6580fbf
MD/new_script.sh,2195,6866282a66a5e3d9554d9073d8c538d0ad45c384037ecb819dbcacd693951676
MD/new_sims/martini_22P_md.mdp,1408,946384c33d2f1d316cd1e75473d8acac20d2680247324c7419f846b9e7a5aadb
MD/new_sims/martini_22P_mini_soft.mdp,1660,f435a716e71fdc0876b28bfca7155582ecf472b2fdb0ba941d9aaa42b51bd2ee
MD/new_sims/martini_22P_mini_steep.mdp,1246,aa9b91d7a46a3db24374e8d76acf475f51d9e873f7c284b310cf7998b5d127f3
MD/new_sims/martini_22P_vacuum_mini.mdp,872,f20b57e1aea7858d87e29072c79e9c34bfa4302e0df00c054a5a749381ded543
MD/new_sims/martini_v2.2refP.itp,53297,19e08a23921448874e993e1a76ab2423dd196db0656fed05fb2f1b0a4d2c1ad7
MD/new_sims/martinize.py,254296,d25eff3a968894d56e30a07fd03670e4cfd90e09ec127ab9e0a4153933619efa
MD/new_sims/triple-w.py,1823,7e68caf6cc38bf97d4759db62b46486f4f6f82797dab018dd2fbc56e2a24c8ee
MD/new_sims/water.gro,27643,a14626e1b935673f42391c7aa4d51a2ea70fed98a7abfc1b677940f04a005f24
MD/PDB_builder_MONO_RADI.py,589,a058ebe57374e927112d275dcca4c8f9a046d08f02bc155176f2accc6a78d77a
MD/Script_builder_CG_v6.py,2780,065cd517d5fb04cfe0394858eb5e13141c385c1f6895ef32c2c0612627c05809
ml_peptide_self_assembly.yml,766,bf002cb8ea7c464b9ef1318f8523a98aae2d29465fdb7f25b68b92db2e5a700b
models/phase3_round001_pre_proposal/cluster_diverse_representative/pre_proposal/ensemble/ap_sp_member_00.h5,558304,9f63c2f03c5dbc2540f0131d5f8f3a3cc996dd845099cf1198ed1717aed5051d
models/phase3_round001_pre_proposal/cluster_diverse_representative/pre_proposal/ensemble/ap_sp_member_00.h5.meta.json,368,af48622c43b62514078d5f7b186ba353b6899aebfdcb7ffe946ca75d3829b256
models/phase3_round001_pre_proposal/cluster_diverse_representative/pre_proposal/ensemble/ap_sp_member_01.h5,558304,0b6bc1a93473be1bcb3b805c5977bd751b0fdf4884ddf7cbaf39d5fef8a325e5
models/phase3_round001_pre_proposal/cluster_diverse_representative/pre_proposal/ensemble/ap_sp_member_01.h5.meta.json,369,b321e7d53bc63997ee93837def2f373a3728e979100f0ae536022c002e72fe89
models/phase3_round001_pre_proposal/cluster_diverse_representative/pre_proposal/ensemble/ap_sp_member_02.h5,558304,489d404aaf6b3b5df66321d52888662455e037cded11dd81aa8114ed98731faa
models/phase3_round001_pre_proposal/cluster_diverse_representative/pre_proposal/ensemble/ap_sp_member_02.h5.meta.json,368,7c6aa40e1bbde403c1e1f371027336ba2535c799c9700605c7819425e708fe4e
models/phase3_round001_pre_proposal/cluster_diverse_representative/pre_proposal/ensemble/ap_sp_member_03.h5,558304,6c6cb2b20d22a8c50780f9db36316ff50f27fed8cc62dd66983d4f75b4a57dd3
models/phase3_round001_pre_proposal/cluster_diverse_representative/pre_proposal/ensemble/ap_sp_member_03.h5.meta.json,369,a3d091c3cf8b3a9630b59d84a6a1b3002a0b319be93097e20750a8628902e77f
models/phase3_round001_pre_proposal/cluster_diverse_representative/pre_proposal/ensemble/ap_sp_member_04.h5,558304,97ee56c5d265590b42642c3e0de3cb883984d9fcc52f1f4640cf91daa6c82c4c
models/phase3_round001_pre_proposal/cluster_diverse_representative/pre_proposal/ensemble/ap_sp_member_04.h5.meta.json,369,e7d138d9091edc0422ee3e3961baa77feca570b3d8b5f892806fb5e8a82f9711
models/phase3_round001_pre_proposal/cluster_diverse_representative/pre_proposal/metrics.json,970,6d94ed17a8c40b43ac3be4247801d7f3e9861592b0a9f51d608d2d2c075efaff
models/phase3_round001_pre_proposal/family_qbc/pre_proposal/ensemble/ap_sp_member_00.h5,558304,ddd73573174805d470b00d1fb007a1abaf49cc2e60ed15509e04fe8e7c17f8a0
models/phase3_round001_pre_proposal/family_qbc/pre_proposal/ensemble/ap_sp_member_00.h5.meta.json,369,98d0cb9340b29d6e3a116aa979f50c62558d4248bdf0241c1608fda205df47b1
models/phase3_round001_pre_proposal/family_qbc/pre_proposal/ensemble/ap_sp_member_01.h5,558304,22a7995528b807ad8eb0095f144c25e40f4e462b95f252aa88cc960324fab3cc
models/phase3_round001_pre_proposal/family_qbc/pre_proposal/ensemble/ap_sp_member_01.h5.meta.json,366,5acc91a222241f0f26e5ea2635368ebb9a12645b5fa8cdf0365ddbf3a341802b
models/phase3_round001_pre_proposal/family_qbc/pre_proposal/ensemble/ap_sp_member_02.h5,558304,e9bb7c1677a282543623728edaf721aad3aa2da99e9a0480ca57f0929ec581fb
models/phase3_round001_pre_proposal/family_qbc/pre_proposal/ensemble/ap_sp_member_02.h5.meta.json,368,2022058923d192e3e44989b3cafee3bc972550e6c635221fa4166d04a26edff2
models/phase3_round001_pre_proposal/family_qbc/pre_proposal/ensemble/ap_sp_member_03.h5,558304,9d49bb9bfef0cc4a8f3a1f9a92caab42d9e847ca7c658a2e2fb6d4119dda7eb5
